/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9002/orders2.py
Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 53112
Connected to : 127.0.0.1 : 53119
Connected to : 127.0.0.1 : 53126
Connected to : 127.0.0.1 : 53137
Connected to : 127.0.0.1 : 53144
Connected to : 127.0.0.1 : 53152
Connected to : 127.0.0.1 : 53158
Connected to : 127.0.0.1 : 53165
Connected to : 127.0.0.1 : 53173
Connected to : 127.0.0.1 : 53181
Connected to : 127.0.0.1 : 53186
Connected to : 127.0.0.1 : 53190
Connected to : 127.0.0.1 : 53197
Connected to : 127.0.0.1 : 53210
Connected to : 127.0.0.1 : 53221
Connected to : 127.0.0.1 : 53228
Connected to : 127.0.0.1 : 53236
Connected to : 127.0.0.1 : 53240
Connected to : 127.0.0.1 : 53247
Connected to : 127.0.0.1 : 53255
Connected to : 127.0.0.1 : 53265
Connected to : 127.0.0.1 : 53273
Connected to : 127.0.0.1 : 53278
Connected to : 127.0.0.1 : 53281
Connected to : 127.0.0.1 : 53285
Connected to : 127.0.0.1 : 53299
Connected to : 127.0.0.1 : 53305
Connected to : 127.0.0.1 : 53311
Connected to : 127.0.0.1 : 53315
Connected to : 127.0.0.1 : 53318
Connected to : 127.0.0.1 : 53322
Connected to : 127.0.0.1 : 53331
Connected to : 127.0.0.1 : 53343
Connected to : 127.0.0.1 : 53351
Connected to : 127.0.0.1 : 53358
Connected to : 127.0.0.1 : 53363
Connected to : 127.0.0.1 : 53367
Connected to : 127.0.0.1 : 53372
Connected to : 127.0.0.1 : 53387
Connected to : 127.0.0.1 : 53395
Connected to : 127.0.0.1 : 53401
Connected to : 127.0.0.1 : 53408
Connected to : 127.0.0.1 : 53419
Connected to : 127.0.0.1 : 53431
Connected to : 127.0.0.1 : 53437
Connected to : 127.0.0.1 : 53452
Connected to : 127.0.0.1 : 53459
Connected to : 127.0.0.1 : 53462
Connected to : 127.0.0.1 : 53466
Connected to : 127.0.0.1 : 53471
Connected to : 127.0.0.1 : 53485
