/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9003/orders3.py
Leader Node Port:  9000
socket order service is listening
Connected to : 127.0.0.1 : 63184
Connected to : 127.0.0.1 : 63187
Connected to : 127.0.0.1 : 63190
Connected to : 127.0.0.1 : 63193
Connected to : 127.0.0.1 : 63196
Connected to : 127.0.0.1 : 63208
Connected to : 127.0.0.1 : 63213
Connected to : 127.0.0.1 : 63219
Connected to : 127.0.0.1 : 63224
Connected to : 127.0.0.1 : 63230
Connected to : 127.0.0.1 : 63235
Connected to : 127.0.0.1 : 63242
Connected to : 127.0.0.1 : 63256
Connected to : 127.0.0.1 : 63262
Connected to : 127.0.0.1 : 63265
Connected to : 127.0.0.1 : 63268
Connected to : 127.0.0.1 : 63273
Connected to : 127.0.0.1 : 63279
Connected to : 127.0.0.1 : 63285
Connected to : 127.0.0.1 : 63293
Connected to : 127.0.0.1 : 63307
Connected to : 127.0.0.1 : 63310
Connected to : 127.0.0.1 : 63313
Connected to : 127.0.0.1 : 63316
Connected to : 127.0.0.1 : 63319
Connected to : 127.0.0.1 : 63331
Connected to : 127.0.0.1 : 63336
Connected to : 127.0.0.1 : 63347
Connected to : 127.0.0.1 : 63349
Connected to : 127.0.0.1 : 63356
Connected to : 127.0.0.1 : 63362
Connected to : 127.0.0.1 : 63370
Connected to : 127.0.0.1 : 63372
Connected to : 127.0.0.1 : 63380
Connected to : 127.0.0.1 : 63390
Connected to : 127.0.0.1 : 63395
Connected to : 127.0.0.1 : 63399
Connected to : 127.0.0.1 : 63402
Connected to : 127.0.0.1 : 63406
Connected to : 127.0.0.1 : 63416
Connected to : 127.0.0.1 : 63424
Connected to : 127.0.0.1 : 63428
Connected to : 127.0.0.1 : 63434
Connected to : 127.0.0.1 : 63439
Connected to : 127.0.0.1 : 63450
Connected to : 127.0.0.1 : 63454
Connected to : 127.0.0.1 : 63458
Connected to : 127.0.0.1 : 63461
Connected to : 127.0.0.1 : 63468
Connected to : 127.0.0.1 : 63475
Connected to : 127.0.0.1 : 63481
Connected to : 127.0.0.1 : 63487
Connected to : 127.0.0.1 : 63491
Connected to : 127.0.0.1 : 63497
Connected to : 127.0.0.1 : 63502
Connected to : 127.0.0.1 : 63509
Connected to : 127.0.0.1 : 63535
Connected to : 127.0.0.1 : 63538
Connected to : 127.0.0.1 : 63541
Connected to : 127.0.0.1 : 63544
Connected to : 127.0.0.1 : 63547
