Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 54122
Connected to : 127.0.0.1 : 54144
Connected to : 127.0.0.1 : 54158
Connected to : 127.0.0.1 : 54162
Connected to : 127.0.0.1 : 54184
Connected to : 127.0.0.1 : 54198
Connected to : 127.0.0.1 : 54208
Connected to : 127.0.0.1 : 54224
Connected to : 127.0.0.1 : 54228
Connected to : 127.0.0.1 : 54238
Connected to : 127.0.0.1 : 54266
Connected to : 127.0.0.1 : 54270
Connected to : 127.0.0.1 : 54274
Connected to : 127.0.0.1 : 54282
Connected to : 127.0.0.1 : 54298
Connected to : 127.0.0.1 : 54316
Connected to : 127.0.0.1 : 54330
Connected to : 127.0.0.1 : 54334
Connected to : 127.0.0.1 : 54348
Connected to : 127.0.0.1 : 54362
Connected to : 127.0.0.1 : 54376
Connected to : 127.0.0.1 : 54392
Connected to : 127.0.0.1 : 54396
Connected to : 127.0.0.1 : 54406
Connected to : 127.0.0.1 : 54418
Connected to : 127.0.0.1 : 54432
Connected to : 127.0.0.1 : 54440
Connected to : 127.0.0.1 : 54454
Connected to : 127.0.0.1 : 54466
Connected to : 127.0.0.1 : 54470
Connected to : 127.0.0.1 : 54494
Connected to : 127.0.0.1 : 54498
Connected to : 127.0.0.1 : 54520
Connected to : 127.0.0.1 : 54524
Connected to : 127.0.0.1 : 54544
Connected to : 127.0.0.1 : 54548
Connected to : 127.0.0.1 : 54572
Connected to : 127.0.0.1 : 54576
Connected to : 127.0.0.1 : 54598
Connected to : 127.0.0.1 : 54610
Connected to : 127.0.0.1 : 54620
Connected to : 127.0.0.1 : 54644
Connected to : 127.0.0.1 : 54648
Connected to : 127.0.0.1 : 54652
Connected to : 127.0.0.1 : 54668
Connected to : 127.0.0.1 : 54684
Connected to : 127.0.0.1 : 54688
Connected to : 127.0.0.1 : 54700
Connected to : 127.0.0.1 : 54712
Connected to : 127.0.0.1 : 54730
Connected to : 127.0.0.1 : 54734
Connected to : 127.0.0.1 : 54738
Connected to : 127.0.0.1 : 54764
Connected to : 127.0.0.1 : 54768
Connected to : 127.0.0.1 : 54780
Connected to : 127.0.0.1 : 54784
Connected to : 127.0.0.1 : 54792
Connected to : 127.0.0.1 : 54818
Connected to : 127.0.0.1 : 54834
Connected to : 127.0.0.1 : 54838
Connected to : 127.0.0.1 : 54852
Connected to : 127.0.0.1 : 54860
Connected to : 127.0.0.1 : 54876
Connected to : 127.0.0.1 : 54890
Connected to : 127.0.0.1 : 54894
Connected to : 127.0.0.1 : 54918
Connected to : 127.0.0.1 : 54930
Connected to : 127.0.0.1 : 54936
Connected to : 127.0.0.1 : 54952
Connected to : 127.0.0.1 : 54964
Connected to : 127.0.0.1 : 54972
Connected to : 127.0.0.1 : 54986
Connected to : 127.0.0.1 : 55002
Connected to : 127.0.0.1 : 55016
Connected to : 127.0.0.1 : 55028
Connected to : 127.0.0.1 : 55042
Connected to : 127.0.0.1 : 55046
Connected to : 127.0.0.1 : 55068
Connected to : 127.0.0.1 : 55072
Connected to : 127.0.0.1 : 55086
Connected to : 127.0.0.1 : 55098
Connected to : 127.0.0.1 : 55110
Connected to : 127.0.0.1 : 55122
Connected to : 127.0.0.1 : 55132
Connected to : 127.0.0.1 : 55156
Connected to : 127.0.0.1 : 55160
Connected to : 127.0.0.1 : 55164
Connected to : 127.0.0.1 : 55174
Connected to : 127.0.0.1 : 55190
Connected to : 127.0.0.1 : 55200
Connected to : 127.0.0.1 : 55212
Connected to : 127.0.0.1 : 55226
Connected to : 127.0.0.1 : 55244
Connected to : 127.0.0.1 : 55248
Connected to : 127.0.0.1 : 55266
Connected to : 127.0.0.1 : 55272
Connected to : 127.0.0.1 : 55276
Connected to : 127.0.0.1 : 55296
Connected to : 127.0.0.1 : 55306
Connected to : 127.0.0.1 : 55328
Connected to : 127.0.0.1 : 55332
Connected to : 127.0.0.1 : 55340
Connected to : 127.0.0.1 : 55354
Connected to : 127.0.0.1 : 55368
Connected to : 127.0.0.1 : 55378
Connected to : 127.0.0.1 : 55392
Connected to : 127.0.0.1 : 55406
Connected to : 127.0.0.1 : 55414
Connected to : 127.0.0.1 : 55430
Connected to : 127.0.0.1 : 55444
Connected to : 127.0.0.1 : 55454
Connected to : 127.0.0.1 : 55472
Connected to : 127.0.0.1 : 55476
Connected to : 127.0.0.1 : 55490
Connected to : 127.0.0.1 : 55500
Connected to : 127.0.0.1 : 55508
Connected to : 127.0.0.1 : 55520
Connected to : 127.0.0.1 : 55532
Connected to : 127.0.0.1 : 55552
Connected to : 127.0.0.1 : 55556
Connected to : 127.0.0.1 : 55572
Connected to : 127.0.0.1 : 55586
Connected to : 127.0.0.1 : 55594
Connected to : 127.0.0.1 : 55608
Connected to : 127.0.0.1 : 55626
Connected to : 127.0.0.1 : 55642
Connected to : 127.0.0.1 : 55646
Connected to : 127.0.0.1 : 55660
Connected to : 127.0.0.1 : 55670
Connected to : 127.0.0.1 : 55688
Connected to : 127.0.0.1 : 55692
Connected to : 127.0.0.1 : 55706
Connected to : 127.0.0.1 : 55718
Connected to : 127.0.0.1 : 55722
Connected to : 127.0.0.1 : 55748
Connected to : 127.0.0.1 : 55752
Connected to : 127.0.0.1 : 55766
Connected to : 127.0.0.1 : 55770
Connected to : 127.0.0.1 : 55794
Connected to : 127.0.0.1 : 55804
Connected to : 127.0.0.1 : 55816
Connected to : 127.0.0.1 : 55820
Connected to : 127.0.0.1 : 55832
Connected to : 127.0.0.1 : 55854
Connected to : 127.0.0.1 : 55858
Connected to : 127.0.0.1 : 55880
Connected to : 127.0.0.1 : 55884
Connected to : 127.0.0.1 : 55896
Connected to : 127.0.0.1 : 55912
Connected to : 127.0.0.1 : 55932
Connected to : 127.0.0.1 : 55950
Connected to : 127.0.0.1 : 55954
Connected to : 127.0.0.1 : 55958
Connected to : 127.0.0.1 : 55966
Connected to : 127.0.0.1 : 55982
Connected to : 127.0.0.1 : 55998
Connected to : 127.0.0.1 : 56010
Connected to : 127.0.0.1 : 56014
Connected to : 127.0.0.1 : 56036
Connected to : 127.0.0.1 : 56054
Connected to : 127.0.0.1 : 56058
Connected to : 127.0.0.1 : 56072
Connected to : 127.0.0.1 : 56086
Connected to : 127.0.0.1 : 56090
Connected to : 127.0.0.1 : 56108
Connected to : 127.0.0.1 : 56120
Connected to : 127.0.0.1 : 56124
Connected to : 127.0.0.1 : 56142
Connected to : 127.0.0.1 : 56152
Connected to : 127.0.0.1 : 56162
Connected to : 127.0.0.1 : 56176
Connected to : 127.0.0.1 : 56180
Connected to : 127.0.0.1 : 56200
Connected to : 127.0.0.1 : 56212
Connected to : 127.0.0.1 : 56230
Connected to : 127.0.0.1 : 56234
Connected to : 127.0.0.1 : 56250
Connected to : 127.0.0.1 : 56254
Connected to : 127.0.0.1 : 56274
Connected to : 127.0.0.1 : 56300
Connected to : 127.0.0.1 : 56306
Connected to : 127.0.0.1 : 56310
Connected to : 127.0.0.1 : 56326
Connected to : 127.0.0.1 : 56338
Connected to : 127.0.0.1 : 56358
Connected to : 127.0.0.1 : 56362
Connected to : 127.0.0.1 : 56370
Connected to : 127.0.0.1 : 56382
Connected to : 127.0.0.1 : 56402
Connected to : 127.0.0.1 : 56414
Connected to : 127.0.0.1 : 56424
Connected to : 127.0.0.1 : 56438
Connected to : 127.0.0.1 : 56450
Connected to : 127.0.0.1 : 56464
Connected to : 127.0.0.1 : 56480
Connected to : 127.0.0.1 : 56500
Connected to : 127.0.0.1 : 56516
Connected to : 127.0.0.1 : 56528
Connected to : 127.0.0.1 : 56532
Connected to : 127.0.0.1 : 56542
Connected to : 127.0.0.1 : 56562
Connected to : 127.0.0.1 : 56576
Connected to : 127.0.0.1 : 56588
Connected to : 127.0.0.1 : 56598
Connected to : 127.0.0.1 : 56614
Connected to : 127.0.0.1 : 56618
Connected to : 127.0.0.1 : 56634
Connected to : 127.0.0.1 : 56644
Connected to : 127.0.0.1 : 56656
Connected to : 127.0.0.1 : 56666
Connected to : 127.0.0.1 : 56678
Connected to : 127.0.0.1 : 56688
Connected to : 127.0.0.1 : 56698
Connected to : 127.0.0.1 : 56714
Connected to : 127.0.0.1 : 56728
Connected to : 127.0.0.1 : 56732
Connected to : 127.0.0.1 : 56750
Connected to : 127.0.0.1 : 56766
Connected to : 127.0.0.1 : 56770
Connected to : 127.0.0.1 : 56788
Connected to : 127.0.0.1 : 56800
Connected to : 127.0.0.1 : 56826
Connected to : 127.0.0.1 : 56830
Connected to : 127.0.0.1 : 56842
Connected to : 127.0.0.1 : 56858
Connected to : 127.0.0.1 : 56872
Connected to : 127.0.0.1 : 56886
Connected to : 127.0.0.1 : 56898
Connected to : 127.0.0.1 : 56904
Connected to : 127.0.0.1 : 56922
Connected to : 127.0.0.1 : 56926
Connected to : 127.0.0.1 : 56950
Connected to : 127.0.0.1 : 56954
Connected to : 127.0.0.1 : 56962
Connected to : 127.0.0.1 : 56976
Connected to : 127.0.0.1 : 56992
Connected to : 127.0.0.1 : 57010
Connected to : 127.0.0.1 : 57014
Connected to : 127.0.0.1 : 57030
Connected to : 127.0.0.1 : 57034
Connected to : 127.0.0.1 : 57048
Connected to : 127.0.0.1 : 57060
Connected to : 127.0.0.1 : 57070
Connected to : 127.0.0.1 : 57086
Connected to : 127.0.0.1 : 57096
Connected to : 127.0.0.1 : 57122
Connected to : 127.0.0.1 : 57126
Connected to : 127.0.0.1 : 57130
Connected to : 127.0.0.1 : 57140
Connected to : 127.0.0.1 : 57154
Connected to : 127.0.0.1 : 57176
Connected to : 127.0.0.1 : 57188
Connected to : 127.0.0.1 : 57192
Connected to : 127.0.0.1 : 57200
Connected to : 127.0.0.1 : 57216
Connected to : 127.0.0.1 : 57228
Connected to : 127.0.0.1 : 57244
Connected to : 127.0.0.1 : 57248
Connected to : 127.0.0.1 : 57266
Connected to : 127.0.0.1 : 57270
Connected to : 127.0.0.1 : 57278
Connected to : 127.0.0.1 : 57300
Connected to : 127.0.0.1 : 57318
Connected to : 127.0.0.1 : 57322
Connected to : 127.0.0.1 : 57326
Connected to : 127.0.0.1 : 57342
Connected to : 127.0.0.1 : 57354
Connected to : 127.0.0.1 : 57366
Connected to : 127.0.0.1 : 57370
Connected to : 127.0.0.1 : 57382
Connected to : 127.0.0.1 : 57398
Connected to : 127.0.0.1 : 57414
Connected to : 127.0.0.1 : 57428
Connected to : 127.0.0.1 : 57440
Connected to : 127.0.0.1 : 57456
Connected to : 127.0.0.1 : 57462
Connected to : 127.0.0.1 : 57486
Connected to : 127.0.0.1 : 57490
Connected to : 127.0.0.1 : 57494
Connected to : 127.0.0.1 : 57520
Connected to : 127.0.0.1 : 57524
Connected to : 127.0.0.1 : 57540
Connected to : 127.0.0.1 : 57544
Connected to : 127.0.0.1 : 57562
Connected to : 127.0.0.1 : 57584
Connected to : 127.0.0.1 : 57588
Connected to : 127.0.0.1 : 57592
Connected to : 127.0.0.1 : 57596
Connected to : 127.0.0.1 : 57618
Connected to : 127.0.0.1 : 57642
Connected to : 127.0.0.1 : 57646
Connected to : 127.0.0.1 : 57650
Connected to : 127.0.0.1 : 57662
Connected to : 127.0.0.1 : 57666
